Group,Individual_No,Sex,Reproductive_female_in_pair,Days_after_adult_emergence,Body_weight_mg
C,71,male,no,5,17.2
C,72,male,no,5,14.3
C,73,male,no,5,16.7
C,74,male,no,5,15.4
C,75,male,yes,5,16.7
C,76,female,no,5,20.7
C,77,female,no,5,21
C,78,female,no,5,22.3
C,79,female,no,5,22.6
C,80,female,yes,5,19.6
D,1,female,no,5,21.5
D,2,male,no,5,14.7
D,3,male,no,5,14.9
D,4,female,no,5,20.4
D,5,male,no,5,13.3
D,6,male,no,5,13.1
D,7,male,no,5,18
D,8,male,no,5,13.5
D,9,male,no,5,14.2
D,10,female,no,5,22
D,11,female,no,5,22.4
D,12,female,no,5,21.5
D,13,female,no,5,20.6
D,14,male,yes,5,16.9
D,15,male,yes,5,15.7
D,16,female,no,5,22.9
D,17,female,yes,5,18.5
D,18,female,yes,5,17.8
D,19,male,no,5,14.5
D,20,male,no,5,14.8
D,21,female,no,5,18.2
D,22,female,no,5,19.3
D,23,male,no,5,15.2
D,24,male,yes,5,15.2
D,25,male,yes,5,16.4
D,26,female,no,5,22.5
D,27,female,yes,5,22.7
D,28,female,yes,5,23.2
D,29,male,no,5,16
D,30,female,no,5,22.1
D,31,male,yes,5,17.4
D,32,male,no,5,15.9
D,33,female,yes,5,23.6
D,34,female,no,5,21.8
D,35,male,no,5,17.5
D,36,male,no,5,14.8
D,37,male,no,5,15.6
D,38,male,no,5,16.7
D,39,male,no,5,16.2
D,40,female,no,5,NA
D,41,female,no,5,20
D,42,female,no,5,24
D,43,female,no,5,NA
D,44,female,no,5,22
D,45,male,no,5,14.5
D,46,male,no,5,15.6
D,47,female,no,5,18.6
D,48,female,no,5,18.1
D,49,male,no,5,13.2
D,50,male,no,5,15
D,51,female,no,5,21.8
D,52,female,no,5,21.5
D,53,male,yes,5,14.9
D,54,male,no,5,13.1
D,55,male,no,5,14.9
D,56,female,yes,5,17.5
D,57,female,no,5,17.2
D,58,female,no,5,17.6
D,59,male,yes,5,16.3
D,60,male,no,5,13.7
D,61,male,no,5,12.9
D,62,female,yes,5,20.4
D,63,female,no,5,20.8
D,64,female,no,5,19.4
D,65,male,no,5,15.8
D,66,male,no,5,15.7
D,67,male,no,5,15.9
D,68,female,no,5,20.9
D,69,female,no,5,19.7
D,70,female,no,5,20.7
D,71,male,no,5,13.9
D,72,male,no,5,16.6
D,73,male,no,5,16.7
D,74,male,no,5,17.6
D,75,female,no,5,22.3
D,76,female,no,5,22.8
D,77,female,no,5,23.6
D,78,female,no,5,20
D,79,male,no,5,14.8
D,80,female,no,5,20.7
A,1,male,yes,10,NA
A,2,female,yes,10,NA
A,3,female,no,10,24.6
A,4,male,no,10,15
A,5,male,no,10,15.9
A,6,male,no,10,16.5
A,7,male,yes,10,15.1
A,8,female,no,10,20.1
A,9,female,no,10,24.7
A,10,female,yes,10,22.7
A,11,male,yes,10,16.2
A,12,male,yes,10,18.2
A,13,male,yes,10,15.8
A,14,male,no,10,17.2
A,15,male,yes,10,14.2
A,16,female,yes,10,21
A,17,female,yes,10,22
A,18,female,yes,10,22.6
A,19,female,no,10,21.6
A,20,female,yes,10,23.2
A,21,male,yes,10,15.4
A,22,male,yes,10,15.3
A,23,male,no,10,15
A,24,male,no,10,14.4
A,25,male,no,10,15.8
A,26,female,yes,10,23.3
A,27,female,yes,10,21.7
A,28,female,no,10,18.7
A,29,female,no,10,20.7
A,30,female,no,10,20.5
A,31,male,yes,10,13.7
A,32,female,yes,10,19.2
A,33,female,yes,10,18.5
A,34,female,no,10,21.9
A,35,female,no,10,21
A,36,male,no,10,17.4
A,37,male,yes,10,17.3
A,38,male,no,10,NA
A,39,male,yes,10,17.9
A,40,male,no,10,18.2
A,41,female,yes,10,25.1
A,42,female,yes,10,25.1
A,43,female,no,10,NA
A,44,male,no,10,11.8
A,45,male,no,10,14.6
A,46,male,yes,10,13.8
A,47,male,no,10,15.2
A,48,female,no,10,22.4
A,49,female,yes,10,NA
A,50,female,no,10,23.5
A,51,male,no,10,16
A,52,male,no,10,NA
A,53,male,no,10,14.4
A,54,male,no,10,15.2
A,55,male,no,10,15.3
A,56,female,no,10,23.3
A,57,female,no,10,NA
A,58,female,no,10,19.7
A,59,female,no,10,20.3
A,60,female,no,10,22.7
A,61,male,no,10,15
A,62,male,no,10,15.9
A,63,male,no,10,16
A,64,male,yes,10,15
A,65,male,no,10,15.7
A,66,female,no,10,22.8
A,67,female,no,10,22
A,68,female,no,10,24.8
A,69,female,yes,10,25
A,70,female,no,10,21
A,71,male,no,10,15.1
A,72,male,no,10,15.4
A,73,male,no,10,14.2
A,74,male,yes,10,15.9
A,75,male,no,10,15.2
A,76,female,no,10,23.9
A,77,female,no,10,23.5
A,78,female,no,10,21.2
A,79,female,yes,10,21.7
A,80,female,no,10,20.7
B,1,male,yes,10,15.4
B,2,female,yes,10,22
B,3,male,no,10,15.3
B,4,female,no,10,24.8
B,5,female,no,10,23.4
B,6,female,no,10,24
B,7,female,yes,10,17.8
B,8,male,no,10,19.2
B,9,male,no,10,15.5
B,10,female,no,10,22.1
B,11,female,no,10,24.2
B,12,male,no,10,17.1
B,13,male,no,10,15.5
B,14,male,yes,10,17.2
B,15,male,no,10,16.6
B,16,male,yes,10,15.1
B,17,male,yes,10,15.2
B,18,male,yes,10,17.4
B,19,female,no,10,25.2
B,20,female,yes,10,22.4
B,21,female,yes,10,21.2
B,22,female,yes,10,23.4
B,23,male,yes,10,NA
B,24,male,no,10,NA
B,25,male,no,10,NA
B,26,male,yes,10,NA
B,27,male,no,10,NA
B,28,male,no,10,NA
B,29,female,yes,10,NA
B,30,female,no,10,NA
B,31,female,no,10,NA
B,32,female,yes,10,NA
